"","loc","mean_sale","resale"
"1","Indianapolis",1572.03396009586,1
"2","Miami",1409.83327511552,1
"3","Toronto",1293.82819186677,1
"4","Vancouver",1221.56388228107,1
"5","East Rutherford",1086.0293911967,1
"6","Seattle",982.367510414475,1
"7","Santa Clara",955.464155046139,1
"8","Cincinnati",954.688338569108,1
"9","Chicago",900.237275803251,1
"10","Foxborough",883.313688256271,1
"11","Pittsburgh",858.025543137774,1
"12","Kansas City",841.190331111277,1
"13","Philadelphia",828.417286985192,1
"14","Denver",786.327288093484,1
"15","Mexico City",744.238315904983,1
"16","Detroit",736.490047885095,1
"17","Inglewood",718.217691900288,1
"18","Atlanta",706.372877799392,1
"19","Minneapolis",703.991481408265,1
"20","Nashville",643.357562292328,1
"21","London",547.688424514669,1
"22","Houston",516.98334445276,1
"23","Tampa",507.252572992995,1
"24","Milan",504.387704704261,0
"25","Arlington",483.172893295902,1
"26","Zurich",466.76058101473,0
"27","Amsterdam",453.046951753343,0
"28","Sydney",400.90116025641,0
"29","Las Vegas",379.721879577794,1
"30","Liverpool",364.334263749325,1
"31","Singapore",362.723943303239,1
"32","Lisbon",359.77393032972,0
"33","Cardiff",349.514054965716,1
"34","Munich",328.81882818334,0
"35","Paris",328.70414933547,0
"36","Edinburgh",322.740793602623,1
"37","Sao Paolo",310.448139963168,1
"38","Glendale",298.936877242612,1
"39","Melbourne",292.280272633745,0
"40","Gelsenkirchen",286.923035296143,0
"41","Warsaw",285.441102409723,0
"42","Hamburg",283.891322570026,0
"43","Madrid",252.318345383383,0
"44","Stockholm",241.637489837398,0
"45","Rio de Janeiro",47.6439917929293,1
